"id","workType","workScope","unit","suggestedRate","minRate","maxRate","sampleCount","description"
"ws_dismantling_partitions_lumpsum","Dismantling and Debris","Dismantling existing partitions and site cleaning","lumpsum","17500","15000","20000","4","as/Site Visit"
"ws_dismantling_walls_lumpsum","Dismantling and Debris","Dismantling existing walls and site cleaning","lumpsum","10000","10000","10000","1","as/Site Visit"
"ws_brick_work","Civil Work","Brick work for toilets, pantry and cafeteria","",,,,"4","providing first class brick work with 4.5 and 9"" thick with rough plaster finish for Tile work. (as/drawing) also providing ledge wall for Wall Hung WC Cistern"
"ws_brick_work_lumpsum","Civil Work","Brick work for toilets, pantry and cafeteria","lumpsum","5000","5000","5000","1","as/site"
"ws_granite_ledge","Civil Work","Granite ledge","",,,,"2","18- 25 mm thick granite ledge for Balcony area"
"ws_granite_staircase_step","Civil Work","Granite staircase","step","2500","2500","2500","1","With single round takkar granite cost up to 70 sq ft."
"ws_ips_flooring","Civil Work","IPS flooring","",,,,"3","providing 5 to 6mm thick IPS flooring for Carpet Area."
"ws_pcc_levelling_lumpsum","Civil Work","PCC / screed for floor levelling","lumpsum","300000","300000","300000","4","providing 1:4 (cement : sand) 100mm thick mortar for existing floor leveling and smooth surface (as/site requirement)"
"ws_pcc_levelling_sqft","Civil Work","PCC / screed for floor levelling","sqft","50","50","50","1","providing 1:4 (cement : sand) 100mm thick mortar for existing floor leveling and smooth surface"
"ws_plaster_work","Civil Work","Cement plaster","",,,,"4","providing 1:4 (cement : sand) 12mm thick plaster on existing wall (as/site)"
"ws_plaster_work_sqft","Civil Work","Cement plaster","sqft","30","30","35","3","providing 1:4 (cement : sand) 12mm thick plaster on existing wall (as/site)"
"ws_raised_floor","Civil Work","Raised PCC floor","",,,,"4","100mm high PCC floor for raised plateform for 75mm pipes for water line"
"ws_rcc_lintel","Civil Work","RCC lintel beam","",,,,"4","providing RCC Lintel Beam For Door Support at +8' lvl"
"ws_waterproofing","Civil Work","Waterproofing for toilet and pantry","",,,,"2","providing DR. Fixit Water proofing chemical for toilets and pantry"
"ws_carpet_tile_sqft","Flooring","Carpet tile","sqft","120","120","175","4","as/design and selection"
"ws_pantry_wall_tile_sqft","Flooring","Pantry wall tiles","sqft","120","120","120","1","Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,Gujrati same as other brand)"
"ws_vinyl_flooring_sqft","Flooring","Vinyl flooring","sqft","150","150","150","1","as/design"
"ws_vitrified_floor_tiles_sqft","Flooring","Vitrified floor tiles","sqft","150","120","200","9","Providing Fixing of (4'x2' & 2'X'2' ) vitrified Tile with chemical pasting and required fixing material. Make - Kajaria, Somani, same as other Tile Cost - up to 50/- sqft. Skirting will be measure at running feet with the same rate."
